Date,Label,Orientation,Bud type,Diameter,centrale_present
2024-05-10,10,east,apical annual,12.3,
2024-05-10,10,east,apical annual,13,
2024-05-10,11,east,lateral annual,10.3,x
2024-05-10,11,east,lateral annual,15.1,x
2024-05-10,11,east,lateral annual,13.1,x
2024-05-10,11,east,lateral annual,12.3,x
2024-05-10,12,east,pluriennial,15,x
2024-05-10,12,east,pluriennial,17,x
2024-05-10,12,east,pluriennial,12.3,x
2024-05-10,12,east,pluriennial,16.7,x
2024-05-10,12,east,pluriennial,15.6,x
2024-05-10,13,east,apical annual,15.2,x
2024-05-10,13,east,apical annual,13.4,x
2024-05-10,13,east,apical annual,13.8,x
2024-05-10,13,east,apical annual,13.5,x
2024-05-10,13,east,apical annual,11.2,x
2024-05-10,13,east,apical annual,13.6,x
2024-05-10,14,east,lateral annual,10.7,x
2024-05-10,14,east,lateral annual,7.6,x
2024-05-10,14,east,lateral annual,4.4,x
2024-05-10,15,east,pluriennial,19.8,x
2024-05-10,15,east,pluriennial,18.1,x
2024-05-10,15,east,pluriennial,12.6,x
2024-05-10,15,east,pluriennial,9.7,x
2024-05-10,15,east,pluriennial,10.6,x
2024-05-10,16,west,apical annual,18.2,x
2024-05-10,16,west,apical annual,14,x
2024-05-10,16,west,apical annual,22.3,x
2024-05-10,16,west,apical annual,21.1,x
2024-05-10,16,west,apical annual,16.9,x
2024-05-10,16,west,apical annual,22.2,x
2024-05-10,17,west,lateral annual,5.2,
2024-05-10,17,west,lateral annual,9.3,
2024-05-10,17,west,lateral annual,9.7,
2024-05-10,18,west,pluriennial,20.9,x
2024-05-10,18,west,pluriennial,15.4,x
2024-05-10,18,west,pluriennial,15.9,x
2024-05-10,18,west,pluriennial,13.6,x
2024-05-10,18,west,pluriennial,6.9,x
2024-05-10,19,west,apical annual,16.7,
2024-05-10,19,west,apical annual,19.6,
2024-05-10,19,west,apical annual,17.1,
2024-05-10,19,west,apical annual,16.8,
2024-05-10,20,west,lateral annual,10.7,x
2024-05-10,20,west,lateral annual,10.8,x
2024-05-10,20,west,lateral annual,4.8,x
2024-05-10,20,west,lateral annual,8.6,x
2024-05-10,20,west,lateral annual,6.1,x
2024-05-10,21,west,pluriennial,18.5,x
2024-05-10,21,west,pluriennial,17.1,x
2024-05-10,21,west,pluriennial,13.5,x
2024-05-10,21,west,pluriennial,16.5,x
2024-05-10,21,west,pluriennial,15.2,x
2024-05-10,21,west,pluriennial,14.8,x
2024-05-10,22,west,apical annual,23.4,x
2024-05-10,22,west,apical annual,17.3,x
2024-05-10,22,west,apical annual,22.6,x
2024-05-10,22,west,apical annual,12.5,x
2024-05-10,22,west,apical annual,15.7,x
2024-05-10,23,west,lateral annual,8.7,x
2024-05-10,23,west,lateral annual,6.7,x
2024-05-10,23,west,lateral annual,3,x
2024-05-10,23,west,lateral annual,3.6,x
2024-05-10,24,west,pluriennial,24.2,x
2024-05-10,24,west,pluriennial,15.4,x
2024-05-10,24,west,pluriennial,15.4,x
2024-05-10,24,west,pluriennial,14.6,x
2024-05-10,25,west,apical annual,17.6,x
2024-05-10,25,west,apical annual,17.5,x
2024-05-10,25,west,apical annual,16.6,x
2024-05-10,25,west,apical annual,16.1,x
2024-05-10,25,west,apical annual,16.2,x
